company_id,year,free_cash_flow_cr,cfo_quality_score,cfo_quality_label,capex_cr,capex_label,fcf_conversion_rate
ABB,Dec 2012,42.0,0.696551724137931,Moderate,3.569267997580157,Moderate,20.792079207920793
ABB,Mar 2014,11.0,0.7828282828282829,Moderate,6.32688927943761,Moderate,4.119850187265917
ABB,Mar 2015,28.0,0.9388646288209607,Moderate,8.169506334643948,Capital Intensive,8.974358974358974
ABB,Mar 2016,172.0,0.9764705882352941,Moderate,2.9456771231828616,Asset Light,47.12328767123288
ABB,Mar 2017,152.0,1.108303249097473,High Quality,5.339304168101963,Moderate,38.19095477386934
ABB,Mar 2018,-62.0,0.38154613466334164,Accrual Risk,6.519102486355368,Moderate,-11.80952380952381
ABB,Mar 2019,242.0,1.1088888888888888,High Quality,6.985593911388964,Moderate,40.0
ABB,Mar 2020,225.0,1.0556492411467115,High Quality,9.79721475690203,Capital Intensive,29.722589167767506
ABB,Mar 2021,655.0,1.0520984081041969,High Quality,1.6705336426914155,Asset Light,71.04121475054231
ABB,Mar 2022,552.0,1.1864831038798498,High Quality,8.0602483207816,Capital Intensive,51.01663585951941
ABB,Mar 2023,745.0,0.9409905163329821,Moderate,2.766872312581791,Asset Light,61.77446102819238
ABB,Mar 2024,797.0,1.009991673605329,High Quality,7.112326893486067,Moderate,54.852030282174816
ABB,TTM,,,Accrual Risk,,Capital Intensive,
ADANIENSOL,Mar 2014,0.0,,,,,
ADANIENSOL,Mar 2015,-1899.0,5.0,High Quality,1422.9007633587787,Capital Intensive,-1880.19801980198
ADANIENSOL,Mar 2016,728.0,4.195652173913044,High Quality,37.192342752962624,Capital Intensive,37.77893098079917
ADANIENSOL,Mar 2017,459.0,5.262019230769231,High Quality,60.15299026425591,Capital Intensive,23.14674735249622
ADANIENSOL,Mar 2018,-994.0,1.9230096237970253,High Quality,80.93306288032454,Capital Intensive,-35.17338995046001
ADANIENSOL,Mar 2019,-459.0,4.635062611806798,High Quality,41.752224503764545,Capital Intensive,-16.52267818574514
ADANIENSOL,Mar 2020,-206.0,7.701133144475921,High Quality,49.43062368605466,Capital Intensive,-4.837952090183185
ADANIENSOL,Mar 2021,-225.0,2.933333333333333,High Quality,40.38887769494258,Capital Intensive,-5.69620253164557
ADANIENSOL,Mar 2022,161.0,3.3147249190938513,High Quality,34.96180493871025,Capital Intensive,3.8278649548264383
ADANIENSOL,Mar 2023,-922.0,2.9484777517564402,High Quality,35.34943203189649,Capital Intensive,-20.407259849490924
